[2026-05-16 06:30:25] SESSION_START: Face Recognition Experiment
[2026-05-16 06:30:25] SETUP: Model=lin | Rank=25 | MaxIter=500
[2026-05-16 06:30:25] STATUS: Starting Training Loop...

[06:30:25] [LIN_FIXED] Starting Optimization (MaxIter=500, Tol=0.0001)
[06:30:25] [LIN_FIXED] W_max = 32.768890097035126, H_max = 32.768890097035126
[06:30:25] [LIN_FIXED] ITER |  RECON_ERROR  |   DELTA_W   |   DELTA_H   | TIME(s)
-------------------------------------------------------------------------------------
[06:30:27] [LIN_FIXED] 0001 | 2.339389e-01 | 9.4933e-01 | 7.0356e-01 |   1.41
[06:30:31] [LIN_FIXED] STOPPED at Iter 10: Converged (Delta < 0.0001)
-------------------------------------------------------------------------------------
Nenhuma cota ativada. Convergência final alcançada após 0 reinício(s).
Total de reinícios executados: 0

[2026-05-16 06:30:31] STATUS: Training Finished. Time=5.828s
[2026-05-16 06:30:31] STATUS: Projecting Test Data and Classifying...

=== CLASSIFICATION REPORT ===
IDX | REAL_ID | PRED_ID | DISTANCE | MATCH_IDX | STATUS
--------------------------------------------------------
001 |   01    |   01    |  1.7653  |   0001    | HIT 
002 |   01    |   01    |  1.8159  |   0002    | HIT 
003 |   01    |   01    |  1.8855  |   0006    | HIT 
004 |   02    |   02    |  1.0066  |   0009    | HIT 
005 |   02    |   02    |  0.7818  |   0011    | HIT 
006 |   02    |   02    |  1.4649  |   0014    | HIT 
007 |   03    |   03    |  1.2134  |   0021    | HIT 
008 |   03    |   03    |  1.3153  |   0021    | HIT 
009 |   03    |   03    |  0.8631  |   0016    | HIT 
010 |   04    |   04    |  0.9120  |   0026    | HIT 
011 |   04    |   04    |  0.9315  |   0025    | HIT 
012 |   04    |   04    |  0.8878  |   0024    | HIT 
013 |   05    |   05    |  0.8772  |   0033    | HIT 
014 |   05    |   05    |  1.6445  |   0035    | HIT 
015 |   05    |   05    |  1.3615  |   0035    | HIT 
016 |   06    |   06    |  0.7666  |   0041    | HIT 
017 |   06    |   06    |  1.0546  |   0042    | HIT 
018 |   06    |   06    |  1.3105  |   0041    | HIT 
019 |   07    |   07    |  0.8117  |   0046    | HIT 
020 |   07    |   07    |  1.4901  |   0046    | HIT 
021 |   07    |   07    |  0.8634  |   0046    | HIT 
022 |   08    |   08    |  1.3103  |   0050    | HIT 
023 |   08    |   08    |  0.8638  |   0053    | HIT 
024 |   08    |   08    |  1.4804  |   0056    | HIT 
025 |   09    |   09    |  0.8447  |   0063    | HIT 
026 |   09    |   09    |  1.3726  |   0061    | HIT 
027 |   09    |   09    |  1.1098  |   0061    | HIT 
028 |   10    |   10    |  0.5552  |   0070    | HIT 
029 |   10    |   10    |  1.2082  |   0066    | HIT 
030 |   10    |   10    |  1.7886  |   0064    | HIT 
031 |   11    |   11    |  1.3275  |   0072    | HIT 
032 |   11    |   14    |  2.2600  |   0098    | MISS
033 |   11    |   11    |  1.8680  |   0075    | HIT 
034 |   12    |   12    |  0.9003  |   0082    | HIT 
035 |   12    |   12    |  1.4772  |   0082    | HIT 
036 |   12    |   12    |  1.1502  |   0079    | HIT 
037 |   13    |   13    |  1.4890  |   0090    | HIT 
038 |   13    |   13    |  1.3860  |   0090    | HIT 
039 |   13    |   13    |  1.0943  |   0091    | HIT 
040 |   14    |   14    |  1.5556  |   0098    | HIT 
041 |   14    |   14    |  1.9155  |   0098    | HIT 
042 |   14    |   14    |  1.2161  |   0098    | HIT 
043 |   15    |   15    |  1.1738  |   0104    | HIT 
044 |   15    |   22    |  1.7226  |   0151    | MISS
045 |   15    |   15    |  1.2281  |   0104    | HIT 
046 |   16    |   16    |  2.0298  |   0109    | HIT 
047 |   16    |   22    |  2.2737  |   0150    | MISS
048 |   16    |   16    |  1.8211  |   0109    | HIT 
049 |   17    |   17    |  0.8925  |   0114    | HIT 
050 |   17    |   17    |  1.2475  |   0119    | HIT 
051 |   17    |   17    |  1.0692  |   0119    | HIT 
052 |   18    |   18    |  1.4308  |   0124    | HIT 
053 |   18    |   18    |  1.1238  |   0123    | HIT 
054 |   18    |   18    |  1.3447  |   0125    | HIT 
055 |   19    |   19    |  1.7414  |   0133    | HIT 
056 |   19    |   19    |  1.4819  |   0132    | HIT 
057 |   19    |   16    |  2.2033  |   0108    | MISS
058 |   20    |   20    |  1.1510  |   0139    | HIT 
059 |   20    |   30    |  1.9116  |   0210    | MISS
060 |   20    |   20    |  1.7040  |   0139    | HIT 
061 |   21    |   21    |  1.1832  |   0142    | HIT 
062 |   21    |   21    |  0.7972  |   0142    | HIT 
063 |   21    |   21    |  0.8306  |   0145    | HIT 
064 |   22    |   22    |  0.9836  |   0151    | HIT 
065 |   22    |   22    |  0.9853  |   0150    | HIT 
066 |   22    |   22    |  0.8798  |   0150    | HIT 
067 |   23    |   23    |  1.2924  |   0161    | HIT 
068 |   23    |   23    |  0.6481  |   0157    | HIT 
069 |   23    |   38    |  1.2995  |   0260    | MISS
070 |   24    |   24    |  0.9545  |   0162    | HIT 
