[2026-02-08 16:40:27] SESSION_START: Face Recognition Experiment
[2026-02-08 16:40:27] SETUP: Model=lin | Rank=40 | MaxIter=300
[2026-02-08 16:40:27] STATUS: Starting Training Loop...

[16:40:27] [LIN_ALGO] Starting Optimization (MaxIter=300, Tol=0.0001)
[16:40:27] [LIN_ALGO] ITER |  RECON_ERROR  |   DELTA_W   |   DELTA_H   | TIME(s)
-------------------------------------------------------------------------------------
[16:40:33] [LIN_ALGO] 0001 | 2.164913e-01 | 9.6797e-01 | 9.0177e-01 |   5.79
[16:40:36] [LIN_ALGO] 0005 | 1.701370e-01 | 0.0000e+00 | 0.0000e+00 |   8.92
[16:40:36] [LIN_ALGO] STOPPED at Iter 5: Converged (Delta < 0.0001)
-------------------------------------------------------------------------------------

[2026-02-08 16:40:36] STATUS: Training Finished. Time=8.924s
[2026-02-08 16:40:36] STATUS: Projecting Test Data and Classifying...

=== CLASSIFICATION REPORT ===
IDX | REAL_ID | PRED_ID | DISTANCE | MATCH_IDX | STATUS
--------------------------------------------------------
001 |   01    |   01    |  2.5938  |   0001    | HIT 
002 |   01    |   24    |  3.1013  |   0166    | MISS
003 |   01    |   01    |  3.3546  |   0006    | HIT 
004 |   02    |   02    |  1.7450  |   0009    | HIT 
005 |   02    |   02    |  1.7200  |   0009    | HIT 
006 |   02    |   02    |  2.3179  |   0014    | HIT 
007 |   03    |   03    |  2.2585  |   0021    | HIT 
008 |   03    |   03    |  2.5923  |   0021    | HIT 
009 |   03    |   03    |  2.4195  |   0016    | HIT 
010 |   04    |   04    |  1.9298  |   0026    | HIT 
011 |   04    |   04    |  1.6047  |   0025    | HIT 
012 |   04    |   04    |  1.9618  |   0026    | HIT 
013 |   05    |   05    |  1.9365  |   0029    | HIT 
014 |   05    |   05    |  2.8461  |   0035    | HIT 
015 |   05    |   05    |  2.5806  |   0035    | HIT 
016 |   06    |   06    |  1.8027  |   0041    | HIT 
017 |   06    |   06    |  2.3913  |   0042    | HIT 
018 |   06    |   06    |  2.6042  |   0040    | HIT 
019 |   07    |   07    |  1.6293  |   0046    | HIT 
020 |   07    |   07    |  2.4185  |   0049    | HIT 
021 |   07    |   07    |  1.9285  |   0043    | HIT 
022 |   08    |   08    |  1.9341  |   0054    | HIT 
023 |   08    |   08    |  1.6966  |   0055    | HIT 
024 |   08    |   08    |  2.6787  |   0050    | HIT 
025 |   09    |   09    |  2.1023  |   0063    | HIT 
026 |   09    |   09    |  2.5122  |   0061    | HIT 
027 |   09    |   09    |  2.2182  |   0061    | HIT 
028 |   10    |   10    |  2.1790  |   0070    | HIT 
029 |   10    |   10    |  2.6232  |   0066    | HIT 
030 |   10    |   10    |  3.0737  |   0068    | HIT 
031 |   11    |   11    |  2.0399  |   0072    | HIT 
032 |   11    |   11    |  3.1503  |   0072    | HIT 
033 |   11    |   11    |  2.7250  |   0072    | HIT 
034 |   12    |   12    |  1.5655  |   0080    | HIT 
035 |   12    |   12    |  2.7810  |   0078    | HIT 
036 |   12    |   12    |  2.1581  |   0079    | HIT 
037 |   13    |   13    |  2.0426  |   0086    | HIT 
038 |   13    |   13    |  2.2094  |   0086    | HIT 
039 |   13    |   13    |  2.1603  |   0086    | HIT 
