[2026-05-03 12:03:25] SESSION_START: Face Recognition Experiment
[2026-05-03 12:03:25] SETUP: Model=lin | Rank=5 | MaxIter=500
[2026-05-03 12:03:25] STATUS: Starting Training Loop...

[12:03:25] [LIN_ALGO] Starting Optimization (MaxIter=500, Tol=0.0001)
[12:03:25] [LIN_ALGO] W_max = 163.84445048517563, H_max = 163.84445048517563
[12:03:25] [LIN_ALGO] ITER |  RECON_ERROR  |   DELTA_W   |   DELTA_H   | TIME(s)
-------------------------------------------------------------------------------------
[12:03:25] [LIN_ALGO] 0001 | 2.826828e-01 | 7.7066e-01 | 7.7171e-01 |   0.16
[12:03:26] [LIN_ALGO] 0010 | 2.363925e-01 | 1.4992e-02 | 1.8852e-02 |   1.12
[12:03:26] [LIN_ALGO] 0013 | 2.360856e-01 | 0.0000e+00 | 0.0000e+00 |   1.24
[12:03:26] [LIN_ALGO] STOPPED at Iter 13: Converged (Delta < 0.0001)
-------------------------------------------------------------------------------------

[2026-05-03 12:03:26] STATUS: Training Finished. Time=1.239s
[2026-05-03 12:03:26] STATUS: Projecting Test Data and Classifying...

=== CLASSIFICATION REPORT ===
IDX | REAL_ID | PRED_ID | DISTANCE | MATCH_IDX | STATUS
--------------------------------------------------------
001 |   01    |   16    |  0.3179  |   0109    | MISS
002 |   01    |   01    |  0.2216  |   0002    | HIT 
003 |   01    |   01    |  0.4000  |   0002    | HIT 
004 |   02    |   28    |  0.1826  |   0192    | MISS
005 |   02    |   02    |  0.1214  |   0011    | HIT 
006 |   02    |   27    |  0.2906  |   0188    | MISS
007 |   03    |   03    |  0.2592  |   0021    | HIT 
008 |   03    |   03    |  0.2050  |   0021    | HIT 
009 |   03    |   03    |  0.1321  |   0016    | HIT 
010 |   04    |   04    |  0.1028  |   0026    | HIT 
011 |   04    |   04    |  0.1433  |   0025    | HIT 
012 |   04    |   04    |  0.0993  |   0024    | HIT 
013 |   05    |   05    |  0.0775  |   0033    | HIT 
014 |   05    |   05    |  0.1273  |   0034    | HIT 
015 |   05    |   05    |  0.1699  |   0034    | HIT 
016 |   06    |   06    |  0.0305  |   0042    | HIT 
017 |   06    |   06    |  0.1589  |   0042    | HIT 
018 |   06    |   06    |  0.1331  |   0040    | HIT 
019 |   07    |   07    |  0.0804  |   0046    | HIT 
020 |   07    |   17    |  0.1696  |   0119    | MISS
021 |   07    |   20    |  0.0699  |   0139    | MISS
022 |   08    |   08    |  0.1043  |   0050    | HIT 
023 |   08    |   08    |  0.2240  |   0055    | HIT 
024 |   08    |   08    |  0.2364  |   0053    | HIT 
025 |   09    |   09    |  0.1575  |   0063    | HIT 
026 |   09    |   38    |  0.1543  |   0261    | MISS
027 |   09    |   09    |  0.2045  |   0061    | HIT 
028 |   10    |   10    |  0.1503  |   0070    | HIT 
029 |   10    |   10    |  0.2458  |   0069    | HIT 
030 |   10    |   17    |  0.3571  |   0117    | MISS
031 |   11    |   11    |  0.1704  |   0072    | HIT 
032 |   11    |   27    |  0.3703  |   0189    | MISS
033 |   11    |   11    |  0.2508  |   0074    | HIT 
034 |   12    |   12    |  0.0872  |   0080    | HIT 
035 |   12    |   12    |  0.2616  |   0078    | HIT 
036 |   12    |   12    |  0.1699  |   0079    | HIT 
037 |   13    |   13    |  0.1441  |   0090    | HIT 
038 |   13    |   13    |  0.0941  |   0090    | HIT 
039 |   13    |   26    |  0.2161  |   0181    | MISS
040 |   14    |   14    |  0.2261  |   0093    | HIT 
041 |   14    |   14    |  0.3321  |   0093    | HIT 
042 |   14    |   11    |  0.4003  |   0075    | MISS
043 |   15    |   15    |  0.1311  |   0104    | HIT 
044 |   15    |   15    |  0.0926  |   0103    | HIT 
045 |   15    |   15    |  0.1924  |   0104    | HIT 
046 |   16    |   16    |  0.3032  |   0109    | HIT 
047 |   16    |   32    |  0.2634  |   0223    | MISS
048 |   16    |   02    |  0.1789  |   0013    | MISS
049 |   17    |   17    |  0.1703  |   0114    | HIT 
050 |   17    |   07    |  0.1269  |   0046    | MISS
051 |   17    |   17    |  0.0351  |   0114    | HIT 
052 |   18    |   18    |  0.2328  |   0126    | HIT 
053 |   18    |   18    |  0.1098  |   0123    | HIT 
054 |   18    |   40    |  0.2477  |   0276    | MISS
055 |   19    |   19    |  0.1766  |   0127    | HIT 
056 |   19    |   28    |  0.1611  |   0195    | MISS
057 |   19    |   27    |  0.4140  |   0189    | MISS
058 |   20    |   07    |  0.2414  |   0043    | MISS
059 |   20    |   23    |  0.1815  |   0157    | MISS
060 |   20    |   23    |  0.1994  |   0157    | MISS
061 |   21    |   29    |  0.1260  |   0201    | MISS
062 |   21    |   21    |  0.0955  |   0141    | HIT 
063 |   21    |   21    |  0.1355  |   0141    | HIT 
064 |   22    |   22    |  0.1161  |   0151    | HIT 
065 |   22    |   22    |  0.0751  |   0148    | HIT 
066 |   22    |   22    |  0.0942  |   0148    | HIT 
067 |   23    |   31    |  0.1939  |   0211    | MISS
068 |   23    |   23    |  0.1330  |   0157    | HIT 
069 |   23    |   38    |  0.0811  |   0262    | MISS
070 |   24    |   24    |  0.1760  |   0164    | HIT 
071 |   24    |   24    |  0.2283  |   0168    | HIT 
072 |   24    |   24    |  0.1918  |   0163    | HIT 
073 |   25    |   25    |  0.1765  |   0175    | HIT 
074 |   25    |   25    |  0.2065  |   0175    | HIT 
075 |   25    |   25    |  0.1991  |   0175    | HIT 
076 |   26    |   26    |  0.1977  |   0179    | HIT 
077 |   26    |   26    |  0.0464  |   0177    | HIT 
078 |   26    |   26    |  0.2264  |   0182    | HIT 
079 |   27    |   08    |  0.1990  |   0050    | MISS
080 |   27    |   27    |  0.2199  |   0189    | HIT 
081 |   27    |   27    |  0.2745  |   0189    | HIT 
082 |   28    |   28    |  0.0827  |   0195    | HIT 
083 |   28    |   37    |  0.3308  |   0253    | MISS
084 |   28    |   28    |  0.2378  |   0192    | HIT 
085 |   29    |   29    |  0.1285  |   0202    | HIT 
086 |   29    |   31    |  0.1737  |   0211    | MISS
087 |   29    |   29    |  0.1783  |   0200    | HIT 
088 |   30    |   30    |  0.2031  |   0206    | HIT 
