[2026-05-31 14:42:28] SESSION_START: Face Recognition Experiment
[2026-05-31 14:42:28] SETUP: Model=multiplicativo | Rank=5 | MaxIter=500
[2026-05-31 14:42:28] STATUS: Starting Training Loop...
[14:42:28] [MULT_ALGO] Starting Optimization (MaxIter=500, Tol=0.0001)
[14:42:28] [MULT_ALGO] ITER |  RECON_ERROR  |   DELTA_W  |   DELTA_H  | TIME(s)
-------------------------------------------------------------------------------------
[14:42:28] [MULT_ALGO] 0001 | 3.299941e-01 | 3.7866e-01 | 6.9439e-01 |   0.03
[14:42:28] [MULT_ALGO] 0010 | 3.081481e-01 | 1.2609e-02 | 1.0978e-02 |   0.28
[14:42:28] [MULT_ALGO] 0020 | 3.001729e-01 | 1.1447e-02 | 1.0223e-02 |   0.76
[14:42:29] [MULT_ALGO] 0030 | 2.864558e-01 | 1.6863e-02 | 1.6122e-02 |   1.26
[14:42:29] [MULT_ALGO] 0040 | 2.699290e-01 | 1.2286e-02 | 1.1609e-02 |   1.73
[14:42:30] [MULT_ALGO] 0050 | 2.612131e-01 | 8.8487e-03 | 8.1424e-03 |   2.24
[14:42:30] [MULT_ALGO] 0060 | 2.553348e-01 | 7.8173e-03 | 7.2000e-03 |   2.74
[14:42:31] [MULT_ALGO] 0070 | 2.501309e-01 | 7.0330e-03 | 6.8061e-03 |   2.96
[14:42:31] [MULT_ALGO] 0080 | 2.458477e-01 | 5.7666e-03 | 5.8694e-03 |   3.45
[14:42:32] [MULT_ALGO] 0090 | 2.427964e-01 | 4.4556e-03 | 4.8056e-03 |   3.94
[14:42:32] [MULT_ALGO] 0100 | 2.407687e-01 | 3.4092e-03 | 3.8352e-03 |   4.17
[14:42:32] [MULT_ALGO] 0110 | 2.394330e-01 | 2.6748e-03 | 3.0528e-03 |   4.67
[14:42:32] [MULT_ALGO] 0120 | 2.385118e-01 | 2.2107e-03 | 2.5141e-03 |   4.89
[14:42:33] [MULT_ALGO] 0130 | 2.378463e-01 | 1.8957e-03 | 2.1240e-03 |   5.11
[14:42:33] [MULT_ALGO] 0140 | 2.373498e-01 | 1.6577e-03 | 1.8195e-03 |   5.61
[14:42:33] [MULT_ALGO] 0150 | 2.369692e-01 | 1.4618e-03 | 1.5787e-03 |   5.81
[14:42:34] [MULT_ALGO] 0160 | 2.366719e-01 | 1.2936e-03 | 1.3812e-03 |   6.03
[14:42:34] [MULT_ALGO] 0170 | 2.364361e-01 | 1.1486e-03 | 1.2151e-03 |   6.53
[14:42:34] [MULT_ALGO] 0180 | 2.362470e-01 | 1.0243e-03 | 1.0744e-03 |   6.74
[14:42:35] [MULT_ALGO] 0190 | 2.360938e-01 | 9.1590e-04 | 9.5517e-04 |   7.25
[14:42:35] [MULT_ALGO] 0200 | 2.359689e-01 | 8.2010e-04 | 8.5383e-04 |   7.47
[14:42:36] [MULT_ALGO] 0210 | 2.358661e-01 | 7.3733e-04 | 7.6761e-04 |   8.00
[14:42:36] [MULT_ALGO] 0220 | 2.357807e-01 | 6.6585e-04 | 6.9414e-04 |   8.23
[14:42:36] [MULT_ALGO] 0230 | 2.357090e-01 | 6.0404e-04 | 6.3135e-04 |   8.74
[14:42:37] [MULT_ALGO] 0240 | 2.356484e-01 | 5.5071e-04 | 5.7754e-04 |   9.19
[14:42:37] [MULT_ALGO] 0250 | 2.355966e-01 | 5.0481e-04 | 5.3134e-04 |   9.71
[14:42:38] [MULT_ALGO] 0260 | 2.355518e-01 | 4.6539e-04 | 4.9163e-04 |  10.20
[14:42:38] [MULT_ALGO] 0270 | 2.355128e-01 | 4.3152e-04 | 4.5743e-04 |  10.72
[14:42:39] [MULT_ALGO] 0280 | 2.354784e-01 | 4.0233e-04 | 4.2791e-04 |  10.95
[14:42:39] [MULT_ALGO] 0290 | 2.354479e-01 | 3.7696e-04 | 4.0235e-04 |  11.50
[14:42:40] [MULT_ALGO] 0300 | 2.354207e-01 | 3.5467e-04 | 3.8011e-04 |  11.96
[14:42:40] [MULT_ALGO] 0310 | 2.353962e-01 | 3.3494e-04 | 3.6066e-04 |  12.48
[14:42:41] [MULT_ALGO] 0320 | 2.353740e-01 | 3.1742e-04 | 3.4356e-04 |  12.97
[14:42:41] [MULT_ALGO] 0330 | 2.353539e-01 | 3.0184e-04 | 3.2846e-04 |  13.46
[14:42:41] [MULT_ALGO] 0340 | 2.353354e-01 | 2.8795e-04 | 3.1504e-04 |  13.70
[14:42:42] [MULT_ALGO] 0350 | 2.353184e-01 | 2.7550e-04 | 3.0308e-04 |  14.20
[14:42:42] [MULT_ALGO] 0360 | 2.353027e-01 | 2.6430e-04 | 2.9238e-04 |  14.68
[14:42:43] [MULT_ALGO] 0370 | 2.352880e-01 | 2.5418e-04 | 2.8277e-04 |  15.20
[14:42:43] [MULT_ALGO] 0380 | 2.352744e-01 | 2.4502e-04 | 2.7412e-04 |  15.69
[14:42:44] [MULT_ALGO] 0390 | 2.352616e-01 | 2.3672e-04 | 2.6633e-04 |  16.20
[14:42:44] [MULT_ALGO] 0400 | 2.352496e-01 | 2.2918e-04 | 2.5931e-04 |  16.44
