[2026-01-26 03:35:45] SESSION_START: Face Recognition Experiment
[2026-01-26 03:35:45] SETUP: Model=pca | Rank=40 | MaxIter=500
[2026-01-26 03:35:45] STATUS: Starting Training Loop...

[03:35:45] [PCA_ALGO]  Starting Direct SVD Decomposition (Rank=40)
--------------------------------------------------------------------------
[03:35:45] [PCA_ALGO]  Computing Singular Value Decomposition...
[03:35:46] [PCA_ALGO]  DONE | Final Error: 1.161723e+02 | Time: 0.4060s
--------------------------------------------------------------------------

[2026-01-26 03:35:46] STATUS: Training Finished. Time=0.406s
[2026-01-26 03:35:46] STATUS: Projecting Test Data and Classifying...

=== CLASSIFICATION REPORT ===
IDX | REAL_ID | PRED_ID | DISTANCE | MATCH_IDX | STATUS
--------------------------------------------------------
001 |   01    |   01    |  9.3416  |   0001    | HIT 
002 |   01    |   01    |  11.4298  |   0002    | HIT 
003 |   01    |   01    |  9.9784  |   0006    | HIT 
004 |   02    |   02    |  4.1707  |   0009    | HIT 
005 |   02    |   02    |  2.5862  |   0011    | HIT 
006 |   02    |   02    |  6.7311  |   0014    | HIT 
007 |   03    |   03    |  5.4812  |   0021    | HIT 
008 |   03    |   03    |  5.5203  |   0021    | HIT 
009 |   03    |   03    |  3.7865  |   0016    | HIT 
010 |   04    |   04    |  3.8108  |   0026    | HIT 
011 |   04    |   04    |  2.7084  |   0025    | HIT 
012 |   04    |   04    |  3.5328  |   0024    | HIT 
013 |   05    |   05    |  2.4501  |   0033    | HIT 
014 |   05    |   05    |  7.3230  |   0035    | HIT 
015 |   05    |   05    |  6.0946  |   0035    | HIT 
016 |   06    |   06    |  3.8663  |   0041    | HIT 
017 |   06    |   06    |  4.5734  |   0042    | HIT 
018 |   06    |   06    |  6.5207  |   0040    | HIT 
019 |   07    |   07    |  3.7684  |   0046    | HIT 
020 |   07    |   07    |  6.6462  |   0049    | HIT 
021 |   07    |   07    |  4.5268  |   0043    | HIT 
022 |   08    |   08    |  6.3361  |   0052    | HIT 
023 |   08    |   08    |  3.9024  |   0055    | HIT 
024 |   08    |   08    |  6.9899  |   0056    | HIT 
025 |   09    |   09    |  3.7007  |   0063    | HIT 
026 |   09    |   09    |  6.1580  |   0061    | HIT 
027 |   09    |   09    |  5.8263  |   0061    | HIT 
028 |   10    |   10    |  6.6102  |   0070    | HIT 
029 |   10    |   10    |  6.0744  |   0066    | HIT 
030 |   10    |   10    |  10.9383  |   0069    | HIT 
031 |   11    |   11    |  6.2723  |   0072    | HIT 
032 |   11    |   11    |  11.5117  |   0072    | HIT 
033 |   11    |   11    |  8.0581  |   0071    | HIT 
034 |   12    |   12    |  4.5364  |   0080    | HIT 
035 |   12    |   12    |  6.3109  |   0078    | HIT 
036 |   12    |   12    |  3.6335  |   0079    | HIT 
037 |   13    |   13    |  7.1729  |   0086    | HIT 
038 |   13    |   13    |  6.5470  |   0086    | HIT 
039 |   13    |   13    |  6.0283  |   0090    | HIT 
040 |   14    |   14    |  8.5200  |   0098    | HIT 
041 |   14    |   14    |  9.1751  |   0098    | HIT 
042 |   14    |   14    |  6.5254  |   0098    | HIT 
043 |   15    |   15    |  3.9468  |   0104    | HIT 
044 |   15    |   15    |  7.7871  |   0102    | HIT 
045 |   15    |   15    |  4.9286  |   0104    | HIT 
046 |   16    |   16    |  9.9358  |   0108    | HIT 
047 |   16    |   16    |  10.8493  |   0109    | HIT 
048 |   16    |   16    |  8.8738  |   0109    | HIT 
049 |   17    |   17    |  3.9162  |   0114    | HIT 
