[2026-01-27 08:24:42] SESSION_START: Face Recognition Experiment
[2026-01-27 08:24:42] SETUP: Model=pg_spectral_non_monotone | Rank=40 | MaxIter=500
[2026-01-27 08:24:42] STATUS: Starting Training Loop...

[08:24:42] [PG_ALGO] Starting Projected Gradient Optimization
[08:24:42] [PG_ALGO] Config: MaxIter=500 | Tol=0.0001 | Monotone=false
[08:24:42] [PG_ALGO] SubConfig: SubMaxIter=200 | SubTol=0.001
[08:24:42] [PG_ALGO] ITER |  RECON_ERROR  |   DELTA_W  |   DELTA_H  |  ALPHA_W |  ALPHA_H | ITER_SUB_W | ITER_SUB_H | TIME(s)
--------------------------------------------------------------------------------------------------------------------
[08:25:10] [PG_ALGO] 0001 | 1.821756e+02 | 9.6277e-01 | 8.7238e-01 | 3.73e-02 | 3.14e-03 |  200  |  049  |  27.52
[08:25:44] [PG_ALGO] 0020 | 1.283676e+02 | 6.8135e-03 | 9.6400e-03 | 4.71e-04 | 4.03e-03 |  005  |  006  |  61.39
[08:25:58] [PG_ALGO] 0040 | 1.272777e+02 | 3.6242e-04 | 8.2760e-03 | 5.64e-04 | 4.59e-03 |  001  |  004  |  75.60
[08:26:11] [PG_ALGO] 0060 | 1.266967e+02 | 9.7050e-04 | 1.0921e-04 | 1.56e-03 | 1.00e-03 |  001  |  001  |  88.60
[08:26:22] [PG_ALGO] 0080 | 1.263015e+02 | 5.4063e-03 | 3.8500e-04 | 4.76e-04 | 4.68e-03 |  005  |  001  |  99.43
[08:26:33] [PG_ALGO] 0100 | 1.259715e+02 | 3.2744e-03 | 4.2527e-03 | 5.31e-04 | 4.24e-03 |  003  |  004  | 110.78
[08:26:43] [PG_ALGO] 0120 | 1.257238e+02 | 3.0873e-03 | 2.9009e-04 | 5.45e-04 | 3.60e-03 |  004  |  001  | 120.62
[08:26:53] [PG_ALGO] 0140 | 1.255047e+02 | 5.1918e-04 | 4.7006e-04 | 6.84e-04 | 6.63e-03 |  001  |  001  | 130.55
[08:27:01] [PG_ALGO] 0160 | 1.253312e+02 | 3.9051e-03 | 6.7431e-05 | 4.89e-04 | 1.00e-03 |  004  |  001  | 138.90
[08:27:11] [PG_ALGO] 0180 | 1.251539e+02 | 4.1620e-03 | 5.6797e-04 | 4.65e-04 | 1.03e-02 |  004  |  001  | 148.56
[08:27:19] [PG_ALGO] 0200 | 1.250248e+02 | 2.3683e-03 | 4.1740e-04 | 5.49e-04 | 5.83e-03 |  003  |  001  | 157.24
[08:27:27] [PG_ALGO] 0220 | 1.249119e+02 | 7.3793e-04 | 2.5620e-04 | 5.69e-04 | 4.06e-03 |  002  |  001  | 165.34
[08:27:35] [PG_ALGO] 0240 | 1.248277e+02 | 3.1807e-04 | 3.1143e-03 | 5.54e-04 | 4.90e-03 |  001  |  003  | 173.06
[08:27:43] [PG_ALGO] 0260 | 1.247430e+02 | 3.1808e-03 | 7.6511e-05 | 6.80e-03 | 1.00e-03 |  002  |  001  | 180.87
[08:27:51] [PG_ALGO] 0280 | 1.246470e+02 | 5.0418e-04 | 2.6917e-04 | 1.07e-03 | 4.25e-03 |  001  |  001  | 188.93
[08:28:00] [PG_ALGO] 0300 | 1.245439e+02 | 2.3411e-04 | 1.1714e-03 | 5.17e-04 | 1.41e-02 |  001  |  002  | 198.33
[08:28:08] [PG_ALGO] 0320 | 1.244739e+02 | 2.7429e-04 | 4.3019e-04 | 5.80e-04 | 4.09e-03 |  001  |  001  | 205.80
[08:28:14] [PG_ALGO] 0340 | 1.244277e+02 | 3.2983e-03 | 6.1099e-05 | 4.63e-04 | 1.00e-03 |  003  |  001  | 211.95
[08:28:21] [PG_ALGO] 0360 | 1.243715e+02 | 2.1359e-04 | 3.4243e-03 | 5.45e-04 | 5.72e-03 |  001  |  003  | 218.40
[08:28:28] [PG_ALGO] 0380 | 1.242937e+02 | 4.2994e-04 | 1.4206e-04 | 1.00e-03 | 3.84e-03 |  001  |  001  | 226.12
[08:28:36] [PG_ALGO] 0400 | 1.242293e+02 | 1.9470e-03 | 4.7965e-05 | 4.56e-04 | 1.00e-03 |  003  |  001  | 233.69
[08:28:44] [PG_ALGO] 0420 | 1.241599e+02 | 1.5226e-03 | 1.6401e-04 | 6.50e-03 | 3.36e-03 |  002  |  001  | 241.40
[08:28:50] [PG_ALGO] 0440 | 1.241236e+02 | 6.0630e-04 | 6.0624e-04 | 1.89e-03 | 1.11e-02 |  001  |  001  | 247.63
[08:28:57] [PG_ALGO] 0460 | 1.240807e+02 | 1.5724e-04 | 1.8622e-04 | 9.00e-04 | 3.52e-03 |  001  |  001  | 254.49
[08:29:04] [PG_ALGO] 0480 | 1.240407e+02 | 2.7618e-04 | 2.0188e-03 | 4.84e-04 | 6.02e-02 |  001  |  002  | 262.00
[08:29:12] [PG_ALGO] 0500 | 1.240100e+02 | 1.1968e-04 | 4.0296e-04 | 6.24e-04 | 6.89e-03 |  001  |  001  | 269.45
[08:29:12] [PG_ALGO] STOPPED: Max Iterations Reached
--------------------------------------------------------------------------------------------------------------------

[2026-01-27 08:29:12] STATUS: Training Finished. Time=269.45s
[2026-01-27 08:29:12] STATUS: Projecting Test Data and Classifying...

=== CLASSIFICATION REPORT ===
IDX | REAL_ID | PRED_ID | DISTANCE | MATCH_IDX | STATUS
--------------------------------------------------------
001 |   01    |   01    |  2.8910  |   0001    | HIT 
002 |   01    |   24    |  3.0796  |   0166    | MISS
003 |   01    |   01    |  3.1393  |   0006    | HIT 
004 |   02    |   02    |  2.3151  |   0011    | HIT 
005 |   02    |   02    |  1.4962  |   0011    | HIT 
006 |   02    |   02    |  2.7313  |   0012    | HIT 
007 |   03    |   03    |  1.9333  |   0021    | HIT 
008 |   03    |   03    |  2.1105  |   0021    | HIT 
009 |   03    |   03    |  2.3080  |   0016    | HIT 
010 |   04    |   04    |  1.5972  |   0026    | HIT 
011 |   04    |   04    |  1.4892  |   0022    | HIT 
012 |   04    |   04    |  2.0057  |   0024    | HIT 
013 |   05    |   05    |  1.5884  |   0033    | HIT 
014 |   05    |   05    |  2.8674  |   0035    | HIT 
015 |   05    |   05    |  2.6018  |   0035    | HIT 
016 |   06    |   06    |  1.8608  |   0041    | HIT 
017 |   06    |   06    |  2.2976  |   0037    | HIT 
018 |   06    |   06    |  2.3721  |   0040    | HIT 
019 |   07    |   07    |  1.6505  |   0046    | HIT 
020 |   07    |   07    |  2.5387  |   0049    | HIT 
021 |   07    |   07    |  1.7388  |   0046    | HIT 
022 |   08    |   08    |  2.3575  |   0052    | HIT 
023 |   08    |   08    |  1.5484  |   0053    | HIT 
024 |   08    |   08    |  1.8211  |   0056    | HIT 
025 |   09    |   09    |  1.5969  |   0063    | HIT 
026 |   09    |   09    |  2.1275  |   0061    | HIT 
027 |   09    |   09    |  1.6737  |   0061    | HIT 
028 |   10    |   10    |  1.8953  |   0070    | HIT 
029 |   10    |   10    |  1.4344  |   0066    | HIT 
030 |   10    |   38    |  3.0015  |   0266    | MISS
031 |   11    |   11    |  2.4845  |   0072    | HIT 
032 |   11    |   14    |  3.1117  |   0098    | MISS
033 |   11    |   11    |  2.4073  |   0074    | HIT 
034 |   12    |   12    |  2.1190  |   0080    | HIT 
035 |   12    |   12    |  2.7724  |   0078    | HIT 
036 |   12    |   12    |  1.8693  |   0079    | HIT 
037 |   13    |   13    |  2.3061  |   0086    | HIT 
038 |   13    |   13    |  2.3703  |   0086    | HIT 
039 |   13    |   13    |  2.1647  |   0091    | HIT 
040 |   14    |   14    |  3.0106  |   0098    | HIT 
041 |   14    |   28    |  2.5735  |   0194    | MISS
042 |   14    |   14    |  1.8864  |   0098    | HIT 
043 |   15    |   15    |  1.5625  |   0100    | HIT 
044 |   15    |   15    |  3.0917  |   0104    | HIT 
045 |   15    |   15    |  2.0607  |   0101    | HIT 
046 |   16    |   01    |  3.2821  |   0002    | MISS
047 |   16    |   22    |  3.0089  |   0152    | MISS
048 |   16    |   16    |  3.0397  |   0109    | HIT 
049 |   17    |   17    |  1.6816  |   0114    | HIT 
050 |   17    |   17    |  2.3842  |   0119    | HIT 
051 |   17    |   17    |  2.4933  |   0119    | HIT 
052 |   18    |   18    |  2.0930  |   0124    | HIT 
053 |   18    |   18    |  1.7553  |   0126    | HIT 
054 |   18    |   18    |  2.6760  |   0122    | HIT 
055 |   19    |   19    |  2.8527  |   0131    | HIT 
056 |   19    |   19    |  2.7545  |   0132    | HIT 
057 |   19    |   16    |  3.2018  |   0112    | MISS
058 |   20    |   20    |  2.2662  |   0139    | HIT 
059 |   20    |   30    |  2.6641  |   0210    | MISS
060 |   20    |   38    |  2.7572  |   0264    | MISS
061 |   21    |   21    |  2.1610  |   0143    | HIT 
062 |   21    |   21    |  1.8937  |   0142    | HIT 
063 |   21    |   21    |  2.0719  |   0147    | HIT 
064 |   22    |   22    |  1.6934  |   0151    | HIT 
065 |   22    |   22    |  1.2869  |   0151    | HIT 
066 |   22    |   22    |  1.9416  |   0149    | HIT 
067 |   23    |   23    |  1.8485  |   0161    | HIT 
068 |   23    |   23    |  1.3566  |   0157    | HIT 
069 |   23    |   23    |  1.9149  |   0156    | HIT 
070 |   24    |   24    |  2.0139  |   0162    | HIT 
071 |   24    |   24    |  1.6687  |   0168    | HIT 
072 |   24    |   24    |  1.7566  |   0163    | HIT 
073 |   25    |   25    |  2.1128  |   0175    | HIT 
074 |   25    |   25    |  1.8174  |   0174    | HIT 
075 |   25    |   25    |  1.9894  |   0175    | HIT 
076 |   26    |   28    |  3.2272  |   0194    | MISS
077 |   26    |   26    |  2.2628  |   0181    | HIT 
078 |   26    |   26    |  1.7570  |   0182    | HIT 
079 |   27    |   38    |  2.7772  |   0263    | MISS
080 |   27    |   27    |  1.8166  |   0189    | HIT 
081 |   27    |   27    |  1.9956  |   0189    | HIT 
082 |   28    |   28    |  2.2343  |   0195    | HIT 
083 |   28    |   26    |  3.2956  |   0182    | MISS
084 |   28    |   28    |  2.4833  |   0192    | HIT 
085 |   29    |   29    |  1.7395  |   0202    | HIT 
086 |   29    |   29    |  2.1717  |   0202    | HIT 
087 |   29    |   29    |  2.1845  |   0199    | HIT 
088 |   30    |   30    |  2.0301  |   0208    | HIT 
089 |   30    |   30    |  1.6247  |   0210    | HIT 
090 |   30    |   30    |  1.8670  |   0210    | HIT 
091 |   31    |   21    |  2.4881  |   0144    | MISS
092 |   31    |   31    |  1.2701  |   0211    | HIT 
093 |   31    |   31    |  1.7867  |   0211    | HIT 
094 |   32    |   02    |  3.2493  |   0013    | MISS
